CardCode,CardName,Address,FederalTaxID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DocumentLines__RowTotalSC,DocumentLines__LastBuyInmPrice,DocumentLines__LastBuyDistributeSumFc,DocumentLines__LastBuyDistributeSumSc,DocumentLines__LastBuyDistributeSum,DocumentLines__StockDistributesumForeign,DocumentLines__StockDistributesumSystem,DocumentLines__StockDistributesum,DocumentLines__StockInmPrice,DocumentLines__PickStatusEx,DocumentLines__TaxBeforeDPM,DocumentLines__TaxBeforeDPMFC,DocumentLines__TaxBeforeDPMSC,DocumentLines__CFOPCode,DocumentLines__CSTCode,DocumentLines__Usage,DocumentLines__TaxOnly,DocumentLines__VisualOrder,DocumentLines__BaseOpenQuantity,DocumentLines__UnitPrice,DocumentLines__LineStatus,DocumentLines__PackageQuantity,DocumentLines__Text,DocumentLines__LineType,DocumentLines__COGSCostingCode,DocumentLines__COGSAccountCode,DocumentLines__ChangeAssemlyBoMWarehouse,DocumentLines__GrossBuyPrice,DocumentLines__GrossBase,DocumentLines__GrossProfitTotalBasePrice,DocumentLines__CostingCode2,DocumentLines__CostingCode3,DocumentLines__CostingCode4,DocumentLines__CostingCode5,DocumentLines__ItemDetails,DocumentLines__LocationCode,DocumentLines__ActualDeliveryDate,DocumentLines__RemainingOpenQuantity,DocumentLines__OpenAmount,DocumentLines__OpenAmountFC,DocumentLines__OpenAmountSC,DocumentLines__ExLineNo,DocumentLines__RequiredDate,DocumentLines__RequiredQuantity,DocumentLines__COGSCostingCode2,DocumentLines__COGSCostingCode3,DocumentLines__COGSCostingCode4,DocumentLines__COGSCostingCode5,DocumentLines__CSTforIPI,DocumentLines__CSTforPIS,DocumentLines__CSTforCOFINS,DocumentLines__CreditOriginCode,DocumentLines__WithoutInventoryMovement,DocumentLines__AgreementNo,DocumentLines__AgreementRowNumber,DocumentLines__ActualBaseEntry,DocumentLines__ActualBaseLine,DocumentLines__DocEntry,DocumentLines__Surpluses,DocumentLines__DefectAndBreakup,DocumentLines__Shortages,DocumentLines__ConsiderQuantity,DocumentLines__PartialRetirement,DocumentLines__RetirementQuantity,DocumentLines__RetirementAPC,DocumentLines__ThirdParty,DocumentLines__PoNum,DocumentLines__PoItmNum,DocumentLines__ExpenseType,DocumentLines__ReceiptNumber,DocumentLines__ExpenseOperationType,DocumentLines__FederalTaxID,DocumentLines__GrossProfit,DocumentLines__GrossProfitFC,DocumentLines__GrossProfitSC,DocumentLines__PriceSource,DocumentLines__StgSeqNum,DocumentLines__StgEntry,DocumentLines__StgDesc,DocumentLines__UoMEntry,DocumentLines__UoMCode,DocumentLines__InventoryQuantity,DocumentLines__RemainingOpenInventoryQuantity,DocumentLines__ParentLineNum,DocumentLines__Incoterms,DocumentLines__TransportMode,DocumentLines__NatureOfTransaction,DocumentLines__DestinationCountryForImport,DocumentLines__DestinationRegionForImport,DocumentLines__OriginCountryForExport,DocumentLines__OriginRegionForExport,DocumentLines__ItemType,DocumentLines__ChangeInventoryQuantityIndependently,DocumentLines__FreeOfChargeBP,DocumentLines__SACEntry,DocumentLines__HSNEntry,DocumentLines__GrossPrice,DocumentLines__GrossTotal,DocumentLines__GrossTotalFC,DocumentLines__GrossTotalSC,DocumentLines__NCMCode,DocumentLines__NVECode,DocumentLines__IndEscala,DocumentLines__CtrSealQty,DocumentLines__CNJPMan,DocumentLines__CESTCode,DocumentLines__UFFiscalBenefitCode,DocumentLines__ReverseCharge,DocumentLines__ShipToCode,DocumentLines__ShipToDescription,DocumentLines__OwnerCode,DocumentLines__ExternalCalcTaxRate,DocumentLines__ExternalCalcTaxAmount,DocumentLines__ExternalCalcTaxAmountFC,DocumentLines__ExternalCalcTaxAmountSC,DocumentLines__StandardItemIdentification,DocumentLines__CommodityClassification,DocumentLines__UnencumberedReason,DocumentLines__CUSplit,DocumentLines__U_SEI_IDEX,DocumentLines__U_SEI_CODMIN,DocumentLines__U_SEI_ITEMIN,DocumentLines__U_SBO_CantBulto,DocumentLines__U_SBO_StockVentas,DocumentLines__LineTaxJurisdictions__JurisdictionCode,DocumentLines__LineTaxJurisdictions__JurisdictionType,DocumentLines__LineTaxJurisdictions__TaxAmount,DocumentLines__LineTaxJurisdictions__TaxAmountSC,DocumentLines__LineTaxJurisdictions__TaxAmountFC,DocumentLines__LineTaxJurisdictions__TaxRate,DocumentLines__LineTaxJurisdictions__DocEntry,DocumentLines__LineTaxJurisdictions__LineNumber,DocumentLines__LineTaxJurisdictions__RowSequence,DocumentLines__LineTaxJurisdictions__ExternalCalcTaxRate,DocumentLines__LineTaxJurisdictions__ExternalCalcTaxAmount,DocumentLines__LineTaxJurisdictions__ExternalCalcTaxAmountFC,DocumentLines__LineTaxJurisdictions__ExternalCalcTaxAmountSC
C77265624-6,ELECTRICIDAD Y CONTROL INDUSTRIAL CLAUDIO BRAVO E.I.R.L.,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,77265624-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,0,1.0,91753.0,bost_Close,1.0,,dlt_Regular,VICTORIA,510101001,N,56888.0,-5,56888.0,TABL,COM,null,null,null,null,null,0.0,89000.0,0.0,89000.0,null,null,0.0,TABL,COM,null,null,null,null,null,null,tNO,null,null,null,null,5080,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,32112.0,0.0,32112.0,dpsManual,null,null,null,-1,Manual,1.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,109186.0,105910.0,0.0,105910.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,200.0,IVA,1,16910.0,16910.0,0.0,19.0,5080,0,0,0.0,0.0,0.0,0.0
C76397193-7,MODELING METAL LTDA.,JOSE JOAQUIN PEREZ 520\r\rSANTIAGO\rCHILE,76397193-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,0,40.0,1280.0,bost_Close,40.0,,dlt_Regular,VICTORIA,510101001,N,560.0,-5,22403.0,CBE,COM,null,null,null,null,null,0.0,51200.0,0.0,51200.0,null,null,0.0,CBE,COM,null,null,null,null,null,null,tNO,null,null,null,null,5084,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,28797.0,0.0,28797.0,dpsManual,null,null,null,-1,Manual,40.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,1523.0,60920.0,0.0,60920.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,JOSE JOAQUIN PEREZ 520\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,5123.0,IVA,1,9728.0,9728.0,0.0,19.0,5084,0,0,0.0,0.0,0.0,0.0
C77265624-6,ELECTRICIDAD Y CONTROL INDUSTRIAL CLAUDIO BRAVO E.I.R.L.,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,77265624-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,0,30.0,765.0,bost_Close,30.0,,dlt_Regular,VICTORIA,510101001,N,364.0,-5,10920.0,MISCELA,COM,null,null,null,null,null,0.0,21803.0,0.0,21803.0,null,null,0.0,MISCELA,COM,null,null,null,null,null,null,tNO,null,null,null,null,5081,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,10883.0,0.0,10883.0,dpsManual,null,null,null,-1,Manual,30.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,910.0,25950.0,0.0,25950.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,3776.0,IVA,1,4143.0,4143.0,0.0,19.0,5081,0,0,0.0,0.0,0.0,0.0
C77038143-6,ELECTRICIDAD RUBEN JAQUE E.I.R.L.,ARLEGUI 263  601\r\rVIÑA DEL MAR\rCHILE,77038143-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,1,24.0,1604.0,bost_Close,24.0,,dlt_Regular,VICTORIA,510101001,N,854.0,-5,20496.0,MISCELA,COM,null,null,null,null,null,0.0,36571.0,0.0,36571.0,null,null,0.0,MISCELA,COM,null,null,null,null,null,null,tNO,null,null,null,null,5081,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,16075.0,0.0,16075.0,dpsManual,null,null,null,-1,Manual,24.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,1909.0,43536.0,0.0,43536.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,4546.0,IVA,1,6948.0,6948.0,0.0,19.0,5081,1,1,0.0,0.0,0.0,0.0
C77038143-6,ELECTRICIDAD RUBEN JAQUE E.I.R.L.,ARLEGUI 263  601\r\rVIÑA DEL MAR\rCHILE,77038143-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,2,24.0,249.0,bost_Close,24.0,,dlt_Regular,VICTORIA,510101001,N,104.0,-5,2496.0,MISCELA,COM,null,null,null,null,null,0.0,5677.0,0.0,5677.0,null,null,0.0,MISCELA,COM,null,null,null,null,null,null,tNO,null,null,null,null,5081,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,3181.0,0.0,3181.0,dpsManual,null,null,null,-1,Manual,24.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,296.0,6768.0,0.0,6768.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,6714.0,IVA,1,1079.0,1079.0,0.0,19.0,5081,2,2,0.0,0.0,0.0,0.0
C77108943-7,SOCIEDAD COMERCIAL PROTON SPA,LAS GAVIOTAS 10971 EL OBSERVATORIO\r\rSANTIAGO\rCHILE,77108943-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,3,10.0,12330.0,bost_Close,10.0,,dlt_Regular,VICTORIA,510101001,N,6877.0,-5,68770.0,MISCELA,COM,null,null,null,null,null,0.0,117135.0,0.0,117135.0,null,null,0.0,MISCELA,COM,null,null,null,null,null,null,tNO,null,null,null,null,5081,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,48365.0,0.0,48365.0,dpsManual,null,null,null,-1,Manual,10.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,14673.0,139400.0,0.0,139400.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,1394.0,IVA,1,22255.0,22255.0,0.0,19.0,5081,3,3,0.0,0.0,0.0,0.0
C77019732-5,SERVICIOS ELECTRICOS FJM SPA,JORGE ALESSANDRI RODRIGUEZ 18418 LOMAS MIRASUR\r\rSANTIAGO\rCHILE,77019732-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,4,2.0,17129.0,bost_Close,2.0,,dlt_Regular,VICTORIA,510101001,N,10888.0,-5,21775.0,COBRE,COM,null,null,null,null,null,0.0,32545.0,0.0,32545.0,null,null,0.0,COBRE,COM,null,null,null,null,null,null,tNO,null,null,null,null,5081,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,10770.0,0.0,10770.0,dpsManual,null,null,null,-1,Manual,2.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,20384.0,38730.0,0.0,38730.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,881.0,IVA,1,6184.0,6184.0,0.0,19.0,5081,4,4,0.0,0.0,0.0,0.0
C6422831-5,JOSE MANUEL GARRIDO ORELLANA,ANTOFAGASTA 2822\r\rSANTIAGO\rCHILE,6422831-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,5,5.0,1764.0,bost_Close,5.0,,dlt_Regular,VICTORIA,510101001,N,955.0,-5,4775.0,MISCELA,COM,null,null,null,null,null,0.0,8379.0,0.0,8379.0,null,null,0.0,MISCELA,COM,null,null,null,null,null,null,tNO,null,null,null,null,5081,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,3604.0,0.0,3604.0,dpsManual,null,null,null,-1,Manual,5.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,2099.0,9970.0,0.0,9970.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,1918.0,IVA,1,1592.0,1592.0,0.0,19.0,5081,5,5,0.0,0.0,0.0,0.0
C76095891-3,EUROLUZ CHILE LTDA.,AV. VICUÑA MACKENNA 1436\r\rSANTIAGO\rCHILE,76095891-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,6,5.0,1305.0,bost_Close,5.0,,dlt_Regular,VICTORIA,510101001,N,724.0,-5,3620.0,MISCELA,COM,null,null,null,null,null,0.0,6199.0,0.0,6199.0,null,null,0.0,MISCELA,COM,null,null,null,null,null,null,tNO,null,null,null,null,5081,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,2579.0,0.0,2579.0,dpsManual,null,null,null,-1,Manual,5.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,1553.0,7380.0,0.0,7380.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,1111.0,IVA,1,1178.0,1178.0,0.0,19.0,5081,6,6,0.0,0.0,0.0,0.0
C77290304-9,IV INGENIERIA SPA,TEATINOS 251\r\rSANTIAGO\rCHILE,77290304-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,7,5.0,3789.0,bost_Close,5.0,,dlt_Regular,VICTORIA,510101001,N,2117.0,-5,10585.0,MISCELA,COM,null,null,null,null,null,0.0,17998.0,0.0,17998.0,null,null,0.0,MISCELA,COM,null,null,null,null,null,null,tNO,null,null,null,null,5081,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,7413.0,0.0,7413.0,dpsManual,null,null,null,-1,Manual,5.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,4509.0,21420.0,0.0,21420.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,2303.0,IVA,1,3420.0,3420.0,0.0,19.0,5081,7,7,0.0,0.0,0.0,0.0
C76366101-6,ENERGY PRO SPA,ANTILLANCA 9090 OF. 96\r\rSANTIAGO\rCHILE,76366101-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,8,2.0,7774.0,bost_Close,2.0,,dlt_Regular,VICTORIA,510101001,N,4310.0,-5,8620.0,MISCELA,COM,null,null,null,null,null,0.0,14771.0,0.0,14771.0,null,null,0.0,MISCELA,COM,null,null,null,null,null,null,tNO,null,null,null,null,5081,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,6151.0,0.0,6151.0,dpsManual,null,null,null,-1,Manual,2.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,9251.0,17576.0,0.0,17576.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,301.0,IVA,1,2806.0,2806.0,0.0,19.0,5081,8,8,0.0,0.0,0.0,0.0
C76397193-7,MODELING METAL LTDA.,JOSE JOAQUIN PEREZ 520\r\rSANTIAGO\rCHILE,76397193-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,9,5.0,3626.0,bost_Close,5.0,,dlt_Regular,VICTORIA,510101001,N,2006.0,-5,10029.0,MISCELA,COM,null,null,null,null,null,0.0,17224.0,0.0,17224.0,null,null,0.0,MISCELA,COM,null,null,null,null,null,null,tNO,null,null,null,null,5081,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,7195.0,0.0,7195.0,dpsManual,null,null,null,-1,Manual,5.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,4315.0,20495.0,0.0,20495.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,570.0,IVA,1,3273.0,3273.0,0.0,19.0,5081,9,9,0.0,0.0,0.0,0.0
C77290304-9,IV INGENIERIA SPA,TEATINOS 251\r\rSANTIAGO\rCHILE,77290304-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dlps_NotPicked,0.0,0.0,0.0,null,null,null,tNO,10,5.0,1911.0,bost_Close,5.0,,dlt_Regular,VICTORIA,510101001,N,655.0,-5,3275.0,MISCELA,COM,null,null,null,null,null,0.0,9077.0,0.0,9077.0,null,null,0.0,MISCELA,COM,null,null,null,null,null,null,tNO,null,null,null,null,5081,0.0,0.0,0.0,tNO,tNO,0.0,0.0,tNO,null,null,null,null,null,null,5802.0,0.0,5802.0,dpsManual,null,null,null,-1,Manual,5.0,0.0,null,0,0,null,null,null,null,null,dit_Item,tNO,tNO,null,null,2274.0,10800.0,0.0,10800.0,-1,null,tNO,0.0,null,-1,null,tNO,DESPACHO,ISLA TIERRA DEL FUEGO 8630\r\rSANTIAGO\rCHILE,11,0.0,0.0,0.0,0.0,0,0,null,tNO,null,null,null,null,149.0,IVA,1,1725.0,1725.0,0.0,19.0,5081,10,10,0.0,0.0,0.0,0.0
